FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
134,Tumbapura,709,Sandy Loam,Inceptisols,Fluventic Haplustepts,76.40363,12.72746,140.0,72.0,13.0,15.0,0.18,7.4,1.77,1.616,0.161,0.09,0.39,0.071,99.9
135,Tumbapura,709,Sandy Clay Loam,Inceptisols,Fluventic Haplustepts,76.40363,12.72746,140.0,65.4,13.1,21.5,0.44,7.9,1.52,1.593,0.218,0.133,0.399,0.085,118.9
136,Tumbapura,709,Sandy Clay Loam,Inceptisols,Fluventic Haplustepts,76.40363,12.72746,140.0,67.1,9.1,23.8,0.14,7.2,0.99,1.619,0.223,0.143,0.389,0.08,112.1
137,Tumbapura,709,Sandy Clay Loam,Inceptisols,Fluventic Haplustepts,76.40363,12.72746,140.0,69.2,9.8,21.0,0.17,7.1,0.79,1.62,0.203,0.127,0.389,0.076,106.6
138,Kanivehalli,397,Sandy Clay Loam,Entisols,Lithic Ustorthents,76.77342,12.81723,20.0,54.2,15.3,30.5,0.66,6.25,0.15,1.543,0.294,0.189,0.418,0.105,21.0
139,Koppali,441,Sandy Loam,Inceptisols,Typic Haplustepts,76.91797,12.36478,58.0,78.7,5.6,15.7,0.26,6.3,0.03,1.611,0.154,0.095,0.392,0.059,34.3
140,Koppali,441,Sandy Clay,Inceptisols,Typic Haplustepts,76.91797,12.36478,58.0,55.3,7.8,36.9,0.39,6.0,0.02,1.546,0.327,0.224,0.417,0.103,60.0
141,Koppali,441,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.91797,12.36478,58.0,64.2,8.7,27.1,0.39,6.0,0.02,1.593,0.253,0.166,0.399,0.087,50.6
142,Guttapalli,251,Loamy Sand,Inceptisols,Lithic Haplargids,76.53612,12.84486,47.0,85.7,4.4,9.9,0.23,6.4,0.1,1.585,0.105,0.057,0.402,0.047,22.2
143,Guttapalli,251,Sandy Clay Loam,Inceptisols,Lithic Haplargids,76.53612,12.84486,47.0,67.5,5.4,27.1,0.44,5.6,0.1,1.597,0.249,0.167,0.397,0.082,38.7
144,Channasandra,144,Loamy Sand,Alfisols,Kanhaplic Rhodustalfs,76.6624,12.85411,146.0,78.1,13.4,8.5,0.53,6.7,0.0,1.556,0.12,0.055,0.413,0.064,94.0
145,Channasandra,144,Clay,Alfisols,Kanhaplic Rhodustalfs,76.6624,12.85411,146.0,41.2,17.6,41.2,0.46,6.7,0.0,1.472,0.368,0.248,0.444,0.12,174.9
146,Channasandra,144,Clay,Alfisols,Kanhaplic Rhodustalfs,76.6624,12.85411,146.0,41.0,8.7,50.3,0.88,6.5,0.0,1.422,0.42,0.302,0.464,0.118,171.9
147,Channasandra,144,Sandy Clay,Alfisols,Kanhaplic Rhodustalfs,76.6624,12.85411,146.0,50.8,10.1,39.1,0.39,6.7,0.0,1.522,0.346,0.237,0.426,0.109,159.7
148,Channasandra,144,Sandy Clay,Alfisols,Kanhaplic Rhodustalfs,76.6624,12.85411,146.0,57.9,21.9,20.2,0.14,6.7,0.0,1.611,0.219,0.122,0.392,0.097,141.4
149,Bidare,104,Sandy Loam,Alfisols,Kanhaplic Rhodustalfs,76.83641,12.97742,164.0,77.1,4.2,18.7,0.09,6.6,0.4,1.631,0.172,0.111,0.384,0.061,100.1
150,Bidare,104,Clay,Alfisols,Kanhaplic Rhodustalfs,76.83641,12.97742,164.0,44.3,10.7,45.0,0.38,6.0,0.3,1.469,0.387,0.27,0.446,0.117,191.4
151,Bidare,104,Clay,Alfisols,Kanhaplic Rhodustalfs,76.83641,12.97742,164.0,38.8,16.1,45.1,0.16,7.0,0.3,1.452,0.391,0.269,0.452,0.121,199.0
152,Bidare,104,Clay,Alfisols,Kanhaplic Rhodustalfs,76.83641,12.97742,164.0,44.3,18.8,36.9,0.32,6.3,0.5,1.511,0.34,0.223,0.43,0.117,191.6
153,Kalkeri,374,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.86874,12.90126,102.0,50.6,14.0,35.4,0.6,6.04,0.02,1.523,0.326,0.217,0.425,0.11,112.0
154,Kalkeri,374,Clay,Alfisols,Typic Haplustalfs,76.86874,12.90126,102.0,34.0,24.0,42.0,0.44,6.82,0.02,1.44,0.379,0.252,0.457,0.127,129.1
155,Kalkeri,374,Clay,Alfisols,Typic Haplustalfs,76.86874,12.90126,102.0,35.4,18.2,46.4,0.56,6.06,0.02,1.418,0.401,0.278,0.465,0.123,125.4
156,Kalkeri,374,Clay,Alfisols,Typic Haplustalfs,76.86874,12.90126,102.0,40.0,13.8,46.2,0.68,6.05,0.02,1.437,0.397,0.278,0.458,0.12,122.0
157,Shimsha,644,Sandy Loam,Entisols,Typic Ustifluvents,76.90235,12.84024,140.0,81.5,4.5,14.0,0.48,6.7,0.22,1.586,0.143,0.087,0.402,0.055,77.7
158,Shimsha,644,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.90235,12.84024,140.0,65.9,13.0,21.1,0.9,7.1,0.2,1.554,0.224,0.137,0.414,0.087,122.3
159,Shimsha,644,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.90235,12.84024,140.0,52.2,18.6,29.2,0.46,7.0,0.5,1.554,0.287,0.179,0.414,0.107,150.1
160,Shimsha,644,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.90235,12.84024,140.0,53.1,13.4,33.5,0.55,6.8,0.1,1.54,0.311,0.205,0.419,0.106,148.6
161,Hampasandra,265,Loamy Sand,Entisols,Lithic Ustorthents,77.0806,12.7464,12.0,86.0,4.0,10.0,0.3,5.3,0.01,1.579,0.106,0.059,0.404,0.047,5.6
162,Chikkangala,159,Clay,Inceptisols,Typic Haplustepts,77.15169,12.62322,125.0,37.3,8.5,51.5,0.54,7.96,0.18,1.4,0.428,0.307,0.472,0.12,150.4
163,Chikkangala,159,Clay,Inceptisols,Typic Haplustepts,77.15169,12.62322,125.0,37.1,11.8,47.5,0.45,8.36,0.18,1.422,0.406,0.284,0.463,0.122,152.1
164,Chikkangala,159,Clay,Inceptisols,Typic Haplustepts,77.15169,12.62322,125.0,38.8,6.5,50.8,0.33,8.91,0.34,1.412,0.423,0.303,0.467,0.121,150.8
165,Bannihatti,62,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,77.13148,12.5024,115.0,66.8,5.5,26.5,0.51,6.52,0.05,1.591,0.247,0.164,0.4,0.084,96.1
166,Bannihatti,62,Sandy Clay,Alfisols,Typic Rhodustalfs,77.13148,12.5024,115.0,49.2,5.0,44.0,0.46,6.28,0.05,1.493,0.378,0.265,0.437,0.112,129.3
167,Bannihatti,62,Sandy Clay,Alfisols,Typic Rhodustalfs,77.13148,12.5024,115.0,55.8,3.2,40.5,0.0,6.34,0.06,1.547,0.346,0.242,0.416,0.104,119.4
168,Bannihatti,62,Sandy Clay,Alfisols,Typic Rhodustalfs,77.13148,12.5024,115.0,46.3,8.0,44.5,0.27,6.65,0.05,1.482,0.382,0.267,0.441,0.115,132.3
169,Padadaridoddi,583,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.29532,12.35836,32.0,72.1,4.2,23.8,0.4,5.15,0.12,1.608,0.219,0.146,0.393,0.073,23.4
170,Padadaridoddi,583,Sandy Clay,Inceptisols,Typic Haplustepts,77.29532,12.35836,32.0,53.3,9.7,39.0,0.12,5.75,0.12,1.542,0.34,0.234,0.418,0.106,33.9
171,Chunchinadoddi,179,Sandy Clay,Mollisols,Typic Haplustolls,77.2706,12.3766,82.0,56.0,8.2,35.8,3.0,6.04,0.23,1.425,0.351,0.238,0.462,0.112,92.0
172,Chunchinadoddi,179,Sandy Clay,Mollisols,Typic Haplustolls,77.2706,12.3766,82.0,57.2,6.5,36.2,0.8,6.3,0.16,1.536,0.326,0.224,0.42,0.102,83.8
173,Chunchinadoddi,179,Sandy Clay,Mollisols,Typic Haplustolls,77.2706,12.3766,82.0,53.2,4.5,42.2,1.5,6.31,0.17,1.488,0.371,0.262,0.438,0.109,89.6
174,Bhairanahalli,94,Clay,Entisols,Typic Ustifluvents,77.27464,12.43058,64.0,23.6,26.0,49.2,0.67,6.73,0.21,1.344,0.42,0.292,0.493,0.128,81.7
175,Bhairanahalli,94,Sandy Clay Loam,Entisols,Typic Ustifluvents,77.27464,12.43058,64.0,65.6,6.5,26.2,0.48,6.96,0.13,1.59,0.247,0.162,0.4,0.085,54.6
176,Bhairanahalli,94,Clay,Entisols,Typic Ustifluvents,77.27464,12.43058,64.0,21.0,28.0,50.2,0.52,7.01,0.22,1.329,0.426,0.297,0.498,0.128,82.1
177,Basavanadoddi,70,Sandy Clay Loam,Mollisols,Typic Haplustolls,77.25041,12.36298,88.0,0.0,10.0,30.8,1.4,5.73,0.33,1.272,0.385,0.192,0.52,0.193,170.2
178,Basavanadoddi,70,Sandy Clay Loam,Mollisols,Typic Haplustolls,77.25041,12.36298,88.0,0.0,10.5,34.8,2.5,5.54,0.19,1.139,0.398,0.216,0.57,0.182,160.5
179,Basavanadoddi,70,Sandy Clay,Mollisols,Typic Haplustolls,77.25041,12.36298,88.0,0.0,9.5,40.5,0.9,5.64,0.15,1.274,0.405,0.241,0.519,0.164,144.0
180,Basavanadoddi,70,Sandy Clay Loam,Mollisols,Typic Haplustolls,77.25041,12.36298,88.0,0.0,8.8,33.0,0.7,5.87,0.12,1.342,0.386,0.201,0.494,0.185,162.7
181,Tyamagondalu,712,Sandy Loam,Alfisols,Kandic Paleustalfs,77.23846,12.49285,160.0,79.3,7.9,12.8,0.5,6.8,0.01,1.579,0.141,0.081,0.404,0.06,96.1
182,Tyamagondalu,712,Sandy Clay,Alfisols,Kandic Paleustalfs,77.23846,12.49285,160.0,50.6,9.3,40.1,0.46,5.9,0.1,1.514,0.353,0.243,0.429,0.11,176.0
183,Tyamagondalu,712,Clay,Alfisols,Kandic Paleustalfs,77.23846,12.49285,160.0,42.2,9.8,48.0,0.49,6.5,0.2,1.442,0.406,0.288,0.456,0.118,189.3
184,Tyamagondalu,712,Sandy Clay,Alfisols,Kandic Paleustalfs,77.23846,12.49285,160.0,46.2,10.5,43.3,0.5,6.1,0.1,1.482,0.376,0.261,0.441,0.115,183.9
185,Tyamagondalu,712,Clay,Alfisols,Kandic Paleustalfs,77.23846,12.49285,160.0,38.5,11.8,49.7,0.36,6.5,0.09,1.417,0.417,0.297,0.465,0.121,193.1
