FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
31,Srirangapura,676,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.35017,12.38918,56.0,62.3,5.2,32.2,0.24,6.2,0.15,1.588,0.287,0.195,0.401,0.091,51.2
32,Srirangapura,676,Sandy Clay,Alfisols,Typic Haplustalfs,76.35017,12.38918,56.0,54.9,5.0,39.5,0.13,6.3,0.13,1.544,0.342,0.238,0.417,0.104,58.5
33,Unnala,718,Sandy Loam,Inceptisols,Lithic Haplargids,76.67974,12.16599,46.0,75.0,6.1,18.0,0.35,5.7,0.0,1.607,0.177,0.11,0.393,0.067,30.6
34,Unnala,718,Sandy Clay,Inceptisols,Lithic Haplargids,76.67974,12.16599,46.0,70.0,6.3,23.5,0.15,5.5,0.0,1.623,0.216,0.141,0.388,0.075,34.5
35,Unnala,718,Sandy Clay,Inceptisols,Lithic Haplargids,76.67974,12.16599,46.0,54.7,6.0,39.2,0.12,7.0,0.0,1.546,0.34,0.235,0.417,0.104,48.0
36,Chikkajataka,157,Loamy Sand,Alfisols,Typic Paleustalfs,76.57237,12.2953,108.0,0.0,2.0,12.8,0.27,6.21,0.08,1.557,0.327,0.088,0.412,0.239,258.1
37,Chikkajataka,157,Sandy Clay,Alfisols,Typic Paleustalfs,76.57237,12.2953,108.0,54.7,9.0,36.2,0.1,6.42,0.1,1.56,0.321,0.218,0.411,0.103,111.1
38,Chikkajataka,157,Sandy Clay,Alfisols,Typic Paleustalfs,76.57237,12.2953,108.0,51.7,9.0,38.5,0.6,6.85,0.13,1.518,0.343,0.235,0.427,0.109,117.4
39,Chikkajataka,157,Sandy Clay,Alfisols,Typic Paleustalfs,76.57237,12.2953,108.0,56.5,6.5,37.0,0.94,6.72,0.12,1.526,0.333,0.229,0.424,0.104,112.1
40,Hirehalli,288,Sandy Clay Loam,Inceptisols,Typic Endoaquepts,76.41635,12.07557,110.0,58.0,9.0,31.0,1.0,8.0,1.1,1.532,0.296,0.195,0.422,0.101,111.3
41,Hirehalli,288,Clay,Inceptisols,Typic Endoaquepts,76.41635,12.07557,110.0,41.0,12.0,45.0,0.0,8.0,0.59,1.466,0.388,0.268,0.447,0.12,131.6
42,Hirehalli,288,Clay,Inceptisols,Typic Endoaquepts,76.41635,12.07557,110.0,34.0,12.0,53.0,0.0,8.0,0.25,1.376,0.438,0.314,0.481,0.124,136.3
43,Hirehalli,288,Clay,Inceptisols,Typic Endoaquepts,76.41635,12.07557,110.0,33.0,9.0,54.0,0.0,8.0,0.38,1.363,0.444,0.32,0.485,0.124,136.5
44,Kanagodu,390,Sandy Clay,Alfisols,Typic Haplustalfs,76.24553,12.20779,120.0,46.8,12.2,40.2,1.2,5.19,0.01,1.469,0.363,0.248,0.446,0.115,138.2
45,Kanagodu,390,Clay,Alfisols,Typic Haplustalfs,76.24553,12.20779,120.0,40.2,7.0,49.5,0.06,5.52,0.03,1.429,0.415,0.295,0.461,0.121,144.9
46,Kanagodu,390,Clay,Alfisols,Typic Haplustalfs,76.24553,12.20779,120.0,36.9,12.2,48.8,0.85,5.23,0.07,1.408,0.413,0.292,0.469,0.12,144.4
47,Kanagodu,390,Clay,Alfisols,Typic Haplustalfs,76.24553,12.20779,120.0,44.4,10.5,43.2,0.84,5.19,0.07,1.464,0.379,0.262,0.448,0.117,139.9
48,Kanatur,392,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.16177,12.41523,102.0,73.1,6.3,20.2,0.1,7.8,0.25,1.629,0.189,0.12,0.385,0.068,69.8
49,Kanatur,392,Sandy Clay,Entisols,Typic Ustifluvents,76.16177,12.41523,102.0,57.1,11.2,31.0,0.64,7.1,0.6,1.552,0.292,0.192,0.414,0.101,102.6
50,Kanatur,392,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.16177,12.41523,102.0,77.1,2.0,20.2,0.07,7.6,0.2,1.635,0.18,0.119,0.383,0.061,62.3
51,Kanatur,392,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.16177,12.41523,102.0,73.4,6.1,20.3,0.07,8.0,0.25,1.632,0.189,0.121,0.384,0.068,69.2
52,Kantbylu,399,Clay Loam,Ultisols,Ustic Palehumults,76.3047,11.82373,132.0,40.0,28.8,31.2,1.46,5.9,0.02,1.431,0.329,0.199,0.46,0.13,172.0
53,Kantbylu,399,Clay,Ultisols,Ustic Palehumults,76.3047,11.82373,132.0,24.6,23.0,52.4,1.32,5.7,0.01,1.322,0.431,0.311,0.501,0.12,158.4
54,Kantbylu,399,Clay,Ultisols,Ustic Palehumults,76.3047,11.82373,132.0,30.0,15.0,55.0,1.22,5.3,0.01,1.345,0.443,0.326,0.493,0.117,153.9
55,Kantbylu,399,Clay,Ultisols,Ustic Palehumults,76.3047,11.82373,132.0,32.2,21.8,46.0,1.03,4.98,0.01,1.391,0.401,0.277,0.475,0.125,164.5
56,Malambi,491,Sandy Clay Loam,Mollisols,Typic Paleustalfs,76.35128,11.83947,119.0,49.0,28.6,22.4,0.78,5.22,0.04,1.529,0.261,0.143,0.423,0.117,139.8
57,Malambi,491,Sandy Clay Loam,Mollisols,Typic Paleustalfs,76.35128,11.83947,119.0,45.8,26.2,28.0,0.64,4.98,0.04,1.524,0.293,0.174,0.425,0.119,141.6
58,Malambi,491,Clay Loam,Mollisols,Typic Paleustalfs,76.35128,11.83947,119.0,36.0,28.8,35.2,0.53,6.2,0.02,1.476,0.343,0.214,0.443,0.129,153.4
59,Malambi,491,Clay Loam,Mollisols,Typic Paleustalfs,76.35128,11.83947,119.0,29.0,30.0,41.0,0.4,5.9,0.02,1.428,0.378,0.246,0.461,0.132,157.5
60,Aigoor,5,Sandy Loam,Mollisols,Typic Argiustolls,76.38667,11.82183,100.0,71.4,10.2,18.4,1.64,5.04,0.04,1.491,0.214,0.131,0.438,0.083,83.1
61,Aigoor,5,Sandy Loam,Mollisols,Typic Argiustolls,76.38667,11.82183,100.0,72.0,9.0,19.0,1.52,4.86,0.03,1.506,0.214,0.133,0.432,0.081,80.9
62,Aigoor,5,Sandy Clay Loam,Mollisols,Typic Argiustolls,76.38667,11.82183,100.0,69.0,6.4,24.6,1.4,4.95,0.43,1.53,0.249,0.163,0.422,0.085,85.5
63,Aigoor,5,Sandy Clay Loam,Mollisols,Typic Argiustolls,76.38667,11.82183,100.0,58.0,16.8,25.2,1.35,4.91,0.19,1.502,0.27,0.166,0.433,0.104,104.0
