FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
135,Taltamane,691,Sandy Clay Loam,Alfisols,Kandic Paleustalfs,76.26572,11.8148,125.0,46.0,27.8,26.2,0.96,6.4,0.02,1.5,0.289,0.167,0.434,0.122,152.2
136,Taltamane,691,Clay,Alfisols,Kandic Paleustalfs,76.26572,11.8148,125.0,40.0,16.0,44.0,0.38,5.2,0.01,1.456,0.384,0.264,0.451,0.12,150.4
137,Taltamane,691,Clay Loam,Alfisols,Kandic Paleustalfs,76.26572,11.8148,125.0,34.0,30.6,35.4,0.64,5.6,0.01,1.46,0.348,0.216,0.449,0.132,164.7
138,Taltamane,691,Clay,Alfisols,Kandic Paleustalfs,76.26572,11.8148,125.0,38.8,19.4,41.8,0.46,5.4,0.01,1.46,0.374,0.252,0.449,0.122,152.5
139,Taltamane,691,Clay,Alfisols,Kandic Paleustalfs,76.26572,11.8148,125.0,33.6,17.4,49.0,0.2,5.9,0.01,1.402,0.415,0.291,0.471,0.124,155.0
140,Ram Samudra,600,Clay,Alfisols,Typic Haplustalfs,76.17853,12.35422,142.0,44.0,10.2,45.8,0.39,7.6,0.19,1.463,0.392,0.275,0.448,0.117,166.2
141,Ram Samudra,600,Sandy Clay,Alfisols,Typic Haplustalfs,76.17853,12.35422,142.0,57.4,3.2,38.2,0.57,7.12,0.22,1.542,0.335,0.233,0.418,0.102,144.8
142,Ram Samudra,600,Sandy Clay,Alfisols,Typic Haplustalfs,76.17853,12.35422,142.0,47.5,15.2,37.2,0.45,7.8,0.22,1.514,0.339,0.226,0.429,0.113,160.7
143,Ram Samudra,600,Sandy Clay,Alfisols,Typic Haplustalfs,76.17853,12.35422,142.0,52.6,6.2,40.8,0.54,7.5,0.21,1.517,0.356,0.248,0.428,0.108,153.8
144,Ram Samudra,600,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.17853,12.35422,142.0,55.1,14.5,28.0,0.24,7.12,0.14,1.581,0.272,0.17,0.403,0.101,144.0
145,Ram Samudra,600,Sandy Clay,Alfisols,Typic Haplustalfs,76.17853,12.35422,142.0,55.5,6.8,39.8,0.3,7.5,0.15,1.54,0.344,0.24,0.419,0.104,148.1
146,Chudamani,177,Sandy Clay Loam,Mollisols,Typic Argiustolls,75.95526,12.38211,110.0,53.8,16.2,30.0,0.61,5.33,0.01,1.546,0.291,0.185,0.417,0.105,116.0
147,Chudamani,177,Sandy Clay Loam,Mollisols,Typic Argiustolls,75.95526,12.38211,110.0,55.6,15.8,28.6,0.8,5.35,0.01,1.539,0.283,0.179,0.419,0.104,114.2
148,Chudamani,177,Sandy Clay Loam,Mollisols,Typic Argiustolls,75.95526,12.38211,110.0,64.8,8.4,26.8,1.2,5.54,0.02,1.538,0.265,0.173,0.42,0.091,100.5
149,Chudamani,177,Sandy Loam,Mollisols,Typic Argiustolls,75.95526,12.38211,110.0,65.6,15.8,18.6,2.1,5.54,0.02,1.433,0.237,0.138,0.459,0.098,108.0
150,Doddamagge,195,Clay,Inceptisols,Aquic Haplustepts,76.13763,12.55731,150.0,31.0,22.0,47.0,0.41,8.0,1.5,1.399,0.406,0.28,0.472,0.126,189.0
151,Doddamagge,195,Sandy Clay Loam,Inceptisols,Aquic Haplustepts,76.13763,12.55731,150.0,62.0,11.0,27.0,1.32,6.8,0.5,1.52,0.273,0.176,0.426,0.097,145.2
152,Doddamagge,195,Sandy Clay,Inceptisols,Aquic Haplustepts,76.13763,12.55731,150.0,46.0,13.0,41.0,0.53,8.0,1.5,1.49,0.363,0.248,0.438,0.115,172.5
153,Doddamagge,195,Clay Loam,Inceptisols,Aquic Haplustepts,76.13763,12.55731,150.0,39.0,27.0,34.0,1.92,8.0,1.0,1.392,0.348,0.217,0.475,0.131,196.2
154,Kallur,382,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.15442,12.52579,100.0,59.6,10.4,30.0,0.98,5.49,0.03,1.539,0.288,0.189,0.419,0.099,98.6
155,Kallur,382,Sandy Loam,Alfisols,Typic Haplustalfs,76.15442,12.52579,100.0,70.0,12.4,17.6,1.22,5.18,0.06,1.523,0.203,0.121,0.425,0.083,82.6
156,Kallur,382,Sandy Clay,Alfisols,Typic Haplustalfs,76.15442,12.52579,100.0,45.0,18.4,35.6,0.43,5.5,0.02,1.513,0.333,0.216,0.429,0.116,116.5
157,Kallur,382,Clay Loam,Alfisols,Typic Haplustalfs,76.15442,12.52579,100.0,45.4,9.6,35.0,0.56,5.68,0.02,1.508,0.33,0.214,0.431,0.117,116.5
158,Alur,14,Loamy Sand,Inceptisols,Typic Dystrupepts,75.9618,12.50586,115.0,78.2,10.8,11.0,0.53,5.15,0.03,1.568,0.133,0.071,0.408,0.063,72.4
159,Alur,14,Sandy Clay Loam,Inceptisols,Typic Dystrupepts,75.9618,12.50586,115.0,62.6,10.4,27.0,0.56,5.2,0.04,1.577,0.258,0.167,0.405,0.091,104.6
160,Alur,14,Sandy Clay Loam,Inceptisols,Typic Dystrupepts,75.9618,12.50586,115.0,64.2,17.6,18.2,0.26,6.02,0.03,1.607,0.198,0.111,0.393,0.086,99.2
161,Alur,14,Sandy Clay Loam,Inceptisols,Typic Dystrupepts,75.9618,12.50586,115.0,59.4,17.2,23.4,0.36,5.9,0.03,1.589,0.239,0.144,0.4,0.095,109.3
162,Alur,14,Sandy Clay Loam,Inceptisols,Typic Dystrupepts,75.9618,12.50586,115.0,57.8,20.1,22.0,0.46,5.42,0.04,1.578,0.236,0.137,0.404,0.099,113.7
163,Channasandra,144,Loamy Sand,Alfisols,Kanhaplic Rhodustalfs,76.57352,12.31369,146.0,78.1,13.4,8.5,0.53,6.7,0.0,1.556,0.12,0.055,0.413,0.064,94.0
164,Channasandra,144,Clay,Alfisols,Kanhaplic Rhodustalfs,76.57352,12.31369,146.0,41.2,17.6,41.2,0.46,6.7,0.0,1.472,0.368,0.248,0.444,0.12,174.9
165,Channasandra,144,Clay,Alfisols,Kanhaplic Rhodustalfs,76.57352,12.31369,146.0,41.0,8.7,50.3,0.88,6.5,0.0,1.422,0.42,0.302,0.464,0.118,171.9
166,Channasandra,144,Sandy Clay,Alfisols,Kanhaplic Rhodustalfs,76.57352,12.31369,146.0,50.8,10.1,39.1,0.39,6.7,0.0,1.522,0.346,0.237,0.426,0.109,159.7
167,Channasandra,144,Sandy Clay,Alfisols,Kanhaplic Rhodustalfs,76.57352,12.31369,146.0,57.9,21.9,20.2,0.14,6.7,0.0,1.611,0.219,0.122,0.392,0.097,141.4
168,Madalapura,477,Sandy Loam,Inceptisols,Fluaquentic Humaquepts,75.96038,12.50139,110.0,74.2,9.8,16.0,0.92,5.21,0.02,1.55,0.179,0.107,0.415,0.072,79.6
169,Madalapura,477,Sandy Clay Loam,Inceptisols,Fluaquentic Humaquepts,75.96038,12.50139,110.0,58.4,13.6,28.0,1.2,6.02,0.02,1.519,0.282,0.18,0.427,0.102,112.0
170,Madalapura,477,Clay,Inceptisols,Fluaquentic Humaquepts,75.96038,12.50139,110.0,44.4,12.0,43.6,0.44,6.28,0.02,1.475,0.379,0.262,0.444,0.117,128.2
171,Madalapura,477,Sandy Clay Loam,Inceptisols,Fluaquentic Humaquepts,75.96038,12.50139,110.0,51.8,11.6,36.6,0.6,6.18,0.02,1.524,0.332,0.224,0.425,0.108,119.2
172,Madalapura,477,Clay,Inceptisols,Fluaquentic Humaquepts,75.96038,12.50139,110.0,42.8,15.8,41.4,0.44,6.28,0.02,1.479,0.368,0.25,0.442,0.118,129.9
173,Guttapalli,251,Loamy Sand,Inceptisols,Lithic Haplargids,76.08143,12.54045,47.0,85.7,4.4,9.9,0.23,6.4,0.1,1.585,0.105,0.057,0.402,0.047,22.2
174,Guttapalli,251,Sandy Clay Loam,Inceptisols,Lithic Haplargids,76.08143,12.54045,47.0,67.5,5.4,27.1,0.44,5.6,0.1,1.597,0.249,0.167,0.397,0.082,38.7
175,Malali,490,Sandy Clay,Inceptisols,Typic Haplustepts,76.27804,12.46075,70.0,55.8,16.5,26.8,0.93,6.53,0.52,1.531,0.274,0.17,0.422,0.105,73.2
176,Malali,490,Clay Loam,Inceptisols,Typic Haplustepts,76.27804,12.46075,70.0,34.0,35.8,28.8,0.54,6.35,0.08,1.497,0.315,0.177,0.435,0.138,96.3
177,Malali,490,Sandy Clay,Inceptisols,Typic Haplustepts,76.27804,12.46075,70.0,52.2,13.5,34.2,0.9,7.06,0.03,1.515,0.321,0.212,0.428,0.109,76.2
178,Srinivasapur,674,Clay,Inceptisols,Aquic Haplustepts,76.48442,12.48968,112.0,35.3,8.6,56.1,1.1,7.6,0.04,1.37,0.45,0.334,0.483,0.116,130.2
179,Srinivasapur,674,Clay,Inceptisols,Aquic Haplustepts,76.48442,12.48968,112.0,29.8,12.6,57.6,0.7,7.8,0.04,1.328,0.459,0.34,0.499,0.118,132.5
180,Srinivasapur,674,Clay,Inceptisols,Aquic Haplustepts,76.48442,12.48968,112.0,23.8,13.6,62.6,0.2,8.0,0.04,1.25,0.486,0.368,0.528,0.119,133.2
181,Budikote,127,Sandy Clay,Inceptisols,Aquic Haplustepts,76.29191,12.52409,85.0,53.7,5.7,40.6,0.62,6.0,0.0,1.519,0.354,0.247,0.427,0.107,91.1
182,Budikote,127,Clay,Inceptisols,Aquic Haplustepts,76.29191,12.52409,85.0,39.7,5.7,54.6,0.26,6.5,0.0,1.391,0.446,0.325,0.475,0.121,102.9
183,Budikote,127,Clay,Inceptisols,Aquic Haplustepts,76.29191,12.52409,85.0,39.5,8.4,51.4,0.15,7.3,0.0,1.412,0.427,0.306,0.467,0.121,102.9
184,Budikote,127,Clay,Inceptisols,Aquic Haplustepts,76.29191,12.52409,85.0,41.0,9.2,49.6,0.15,7.5,0.0,1.431,0.416,0.296,0.46,0.12,102.0
185,Channarayapatna,143,Sandy Loam,Inceptisols,Typic Haplustepts,76.39824,12.48307,160.0,77.0,6.0,17.0,1.4,5.8,0.18,1.516,0.19,0.12,0.428,0.071,112.9
186,Channarayapatna,143,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.39824,12.48307,160.0,75.0,1.0,24.0,0.4,5.7,0.18,1.613,0.216,0.147,0.391,0.068,109.3
187,Channarayapatna,143,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.39824,12.48307,160.0,66.0,7.0,27.0,0.4,5.6,0.15,1.596,0.25,0.166,0.398,0.084,135.1
188,Channarayapatna,143,Sandy Clay,Inceptisols,Typic Haplustepts,76.39824,12.48307,160.0,61.0,2.0,37.0,0.2,6.7,0.15,1.573,0.319,0.223,0.407,0.096,153.4
189,Kabini,353,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.55531,12.19288,120.0,64.7,8.8,26.0,0.45,6.59,0.18,1.59,0.247,0.16,0.4,0.087,103.9
190,Kabini,353,Sandy Loam,Inceptisols,Typic Haplustepts,76.55531,12.19288,120.0,79.2,4.2,15.5,0.48,6.7,0.31,1.591,0.156,0.097,0.4,0.06,71.6
191,Kabini,353,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.55531,12.19288,120.0,67.5,4.5,28.0,0.45,6.63,0.18,1.596,0.255,0.172,0.398,0.083,99.3
192,Kabini,353,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.55531,12.19288,120.0,61.0,7.0,29.8,0.24,6.71,0.17,1.591,0.273,0.18,0.4,0.092,110.8
193,Modur,525,Sandy Clay,Alfisols,Rhodic Paleustalfs,76.21792,12.63227,90.0,57.0,3.8,39.0,0.47,5.95,0.17,1.542,0.34,0.237,0.418,0.103,92.4
194,Modur,525,Loamy Sand,Alfisols,Rhodic Paleustalfs,76.21792,12.63227,90.0,0.0,3.2,10.0,0.3,6.15,0.23,1.573,0.321,0.074,0.406,0.247,222.4
195,Modur,525,Sandy Clay,Alfisols,Rhodic Paleustalfs,76.21792,12.63227,90.0,49.6,6.8,43.0,0.23,5.92,0.17,1.505,0.37,0.258,0.432,0.112,100.5
196,Modur,525,Sandy Clay,Alfisols,Rhodic Paleustalfs,76.21792,12.63227,90.0,51.1,8.8,48.5,0.35,6.09,0.15,1.481,0.405,0.291,0.441,0.113,102.1
197,Nandipura,565,Loamy Sand,Alfisols,Typic Paleustalfs,76.0698,12.55439,88.0,82.0,11.0,7.0,0.32,8.2,1.1,1.566,0.098,0.042,0.409,0.056,49.5
198,Nandipura,565,Sandy Clay Loam,Alfisols,Typic Paleustalfs,76.0698,12.55439,88.0,71.0,6.0,23.0,0.27,8.0,0.4,1.615,0.214,0.14,0.39,0.074,65.1
199,Nandipura,565,Sandy Clay,Alfisols,Typic Paleustalfs,76.0698,12.55439,88.0,58.0,6.0,36.0,0.59,8.3,0.7,1.549,0.321,0.22,0.416,0.1,88.4
200,Nandipura,565,Sandy Clay,Alfisols,Typic Paleustalfs,76.0698,12.55439,88.0,57.0,6.0,37.0,0.41,8.1,0.5,1.551,0.326,0.225,0.415,0.101,89.3
201,Ballaryhatti,53,Loamy Sand,Alfisols,Typic Rhodustalfs,76.66697,12.20261,98.0,71.5,13.5,15.0,0.51,7.4,0.09,1.584,0.17,0.095,0.402,0.075,73.2
202,Ballaryhatti,53,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,76.66697,12.20261,98.0,65.0,10.0,25.0,0.3,7.1,0.12,1.603,0.237,0.152,0.395,0.085,83.2
203,Ballaryhatti,53,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,76.66697,12.20261,98.0,61.5,13.5,25.0,0.1,6.6,0.08,1.612,0.24,0.15,0.392,0.09,87.8
204,Ballaryhatti,53,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,76.66697,12.20261,98.0,65.0,5.0,30.0,0.2,7.1,0.09,1.603,0.267,0.181,0.395,0.086,84.3
205,Ballaryhatti,53,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,76.66697,12.20261,98.0,57.5,10.0,32.5,0.2,6.3,0.16,1.577,0.295,0.196,0.405,0.098,96.2
206,Gollenahalli,226,Sandy Loam,Inceptisols,Typic Haplustepts,76.4139,12.31156,145.0,71.0,17.0,12.0,0.5,5.1,0.5,1.577,0.154,0.077,0.405,0.077,111.2
207,Gollenahalli,226,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.4139,12.31156,145.0,60.0,18.0,22.0,0.57,5.6,0.37,1.572,0.234,0.138,0.407,0.096,138.7
208,Gollenahalli,226,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.4139,12.31156,145.0,58.0,16.0,26.0,0.23,6.9,0.5,1.593,0.254,0.158,0.399,0.096,139.9
209,Gollenahalli,226,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.4139,12.31156,145.0,61.0,15.0,24.0,0.5,6.0,0.25,1.58,0.242,0.149,0.404,0.093,135.0
210,Gollenahalli,226,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.4139,12.31156,145.0,56.0,18.0,26.0,0.47,6.4,0.25,1.569,0.262,0.161,0.408,0.101,147.1
211,Gollenahalli,226,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.4139,12.31156,145.0,61.0,16.0,23.0,0.13,6.7,0.37,1.612,0.229,0.139,0.392,0.091,131.4
212,Bisalahalli,114,Loamy Sand,Entisols,Lithic Ustorthents,76.72275,12.38774,28.0,78.0,10.0,12.0,0.28,5.5,0.01,1.597,0.134,0.072,0.397,0.061,17.2
213,Sankihalli,634,Sandy Loam,Entisols,Lithic Ustorthents,76.70823,12.12389,10.0,65.7,16.3,18.0,0.42,7.0,1.74,1.593,0.197,0.112,0.399,0.085,8.5
214,Alanahalli,11,Sandy Loam,Alfisols,Lithic Rhodustalfs,76.49352,12.23412,38.0,73.9,10.2,14.8,0.51,5.6,0.72,1.584,0.163,0.093,0.402,0.07,26.6
215,Alanahalli,11,Sandy Clay Loam,Alfisols,Lithic Rhodustalfs,76.49352,12.23412,38.0,58.8,5.2,34.2,0.45,6.24,0.21,1.562,0.307,0.209,0.41,0.098,37.3
216,Gumballi,243,Sandy Clay Loam,Inceptisols,Lithic Haplargids,76.57079,11.93045,32.0,45.4,18.4,35.0,1.23,6.82,0.05,1.467,0.338,0.219,0.446,0.119,38.1
217,Gumballi,243,Sandy Clay Loam,Inceptisols,Lithic Haplargids,76.57079,11.93045,32.0,46.2,10.2,41.5,0.45,6.67,0.06,1.491,0.365,0.251,0.437,0.115,36.7
218,Indiranagar,325,Sandy Clay Loam,Alfisols,Lithic Rhodustalfs,76.57757,11.97824,39.0,74.5,3.2,22.2,0.57,6.71,1.11,1.598,0.209,0.139,0.397,0.07,27.2
219,Indiranagar,325,Sand Clay,Alfisols,Lithic Rhodustalfs,76.57757,11.97824,39.0,58.2,5.0,36.8,0.33,6.59,1.0,1.559,0.322,0.223,0.412,0.1,38.8
220,Ballasamudra,54,Sandy Loam,Alfisols,Typic Haplustalfs,76.84401,12.34883,67.0,74.1,7.5,18.0,0.45,6.6,0.12,1.598,0.181,0.112,0.397,0.069,46.2
221,Ballasamudra,54,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.84401,12.34883,67.0,59.2,6.2,34.2,0.4,6.0,0.15,1.566,0.306,0.209,0.409,0.097,65.2
222,Ballasamudra,54,Clay,Alfisols,Typic Haplustalfs,76.84401,12.34883,67.0,38.3,11.2,50.2,0.24,6.4,0.06,1.414,0.421,0.299,0.466,0.121,81.2
223,Yeswantpur,757,Sandy Loam,Alfisols,Typic Haplustalfs,76.51541,11.86144,72.0,77.7,4.2,17.5,0.96,6.64,0.2,1.557,0.182,0.116,0.412,0.066,47.4
224,Yeswantpur,757,Sandy Clay,Alfisols,Typic Haplustalfs,76.51541,11.86144,72.0,60.7,3.8,35.5,0.66,6.66,0.12,1.556,0.315,0.218,0.413,0.097,69.9
225,Yeswantpur,757,Sandy Clay,Alfisols,Typic Haplustalfs,76.51541,11.86144,72.0,55.6,8.0,35.2,0.36,6.68,0.12,1.554,0.316,0.214,0.414,0.102,73.7
226,Allianpura,12,Sandy Loam,Alfisols,Typic Rhodustalfs,76.59927,12.11725,110.0,74.8,4.2,20.0,0.64,7.51,0.31,1.588,0.196,0.126,0.401,0.069,76.0
227,Allianpura,12,Sandy Clay,Alfisols,Typic Rhodustalfs,76.59927,12.11725,110.0,52.5,3.5,44.0,0.32,6.98,0.23,1.509,0.375,0.265,0.43,0.11,120.6
228,Allianpura,12,Sandy Clay,Alfisols,Typic Rhodustalfs,76.59927,12.11725,110.0,42.9,16.0,40.5,0.4,6.91,0.39,1.485,0.362,0.244,0.44,0.118,129.9
229,Allianpura,12,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,76.59927,12.11725,110.0,62.6,7.8,29.0,0.22,6.94,0.19,1.598,0.265,0.176,0.397,0.089,98.3
230,Kalkeri,374,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.71951,12.10207,102.0,50.6,14.0,35.4,0.6,6.04,0.02,1.523,0.326,0.217,0.425,0.11,112.0
231,Kalkeri,374,Clay,Alfisols,Typic Haplustalfs,76.71951,12.10207,102.0,34.0,24.0,42.0,0.44,6.82,0.02,1.44,0.379,0.252,0.457,0.127,129.1
232,Kalkeri,374,Clay,Alfisols,Typic Haplustalfs,76.71951,12.10207,102.0,35.4,18.2,46.4,0.56,6.06,0.02,1.418,0.401,0.278,0.465,0.123,125.4
233,Kalkeri,374,Clay,Alfisols,Typic Haplustalfs,76.71951,12.10207,102.0,40.0,13.8,46.2,0.68,6.05,0.02,1.437,0.397,0.278,0.458,0.12,122.0
234,Kalkunte,375,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.93189,12.14946,100.0,63.8,10.5,25.8,0.88,6.4,0.13,1.556,0.255,0.164,0.413,0.091,91.0
235,Kalkunte,375,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.93189,12.14946,100.0,65.5,6.0,28.5,0.59,6.5,0.11,1.582,0.263,0.177,0.403,0.087,86.9
236,Kalkunte,375,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.93189,12.14946,100.0,61.2,9.2,29.5,0.73,7.3,0.2,1.56,0.278,0.184,0.411,0.095,94.6
237,Kalkunte,375,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.93189,12.14946,100.0,61.8,9.8,28.5,0.43,7.9,0.19,1.582,0.267,0.175,0.403,0.092,91.8
238,Tagaduru,683,Sandy Clay Loam,Inceptisols,Vertic Halaquepts,76.90551,12.13984,95.0,64.6,7.2,27.5,0.51,7.97,0.19,1.585,0.257,0.17,0.402,0.087,83.1
239,Tagaduru,683,Clay,Inceptisols,Vertic Halaquepts,76.90551,12.13984,95.0,31.6,13.5,51.5,0.49,7.88,0.32,1.373,0.429,0.306,0.482,0.123,116.6
240,Tagaduru,683,Clay Loam,Inceptisols,Vertic Halaquepts,76.90551,12.13984,95.0,39.8,22.2,34.2,0.51,8.03,0.22,1.495,0.333,0.209,0.436,0.124,118.0
241,Tagaduru,683,Clay,Inceptisols,Vertic Halaquepts,76.90551,12.13984,95.0,26.5,18.8,51.5,0.44,8.0,0.31,1.349,0.43,0.305,0.491,0.125,118.8
242,Gattavadi,218,Clay,Vertisols,Typic Calciusterts,76.86837,12.13289,100.0,32.0,19.8,47.3,0.27,8.4,0.26,1.405,0.407,0.282,0.47,0.125,125.5
243,Gattavadi,218,Clay,Vertisols,Typic Calciusterts,76.86837,12.13289,100.0,26.7,12.5,59.8,0.44,8.3,0.27,1.293,0.471,0.352,0.512,0.119,118.9
244,Gattavadi,218,Clay,Vertisols,Typic Calciusterts,76.86837,12.13289,100.0,32.5,9.0,57.8,0.69,8.26,0.34,1.341,0.46,0.342,0.494,0.118,118.4
245,Gattavadi,218,Clay,Vertisols,Typic Calciusterts,76.86837,12.13289,100.0,18.3,12.8,68.0,0.57,8.37,0.29,1.193,0.501,0.395,0.55,0.106,106.1
246,Gattavadi,218,Clay,Vertisols,Typic Calciusterts,76.86837,12.13289,100.0,35.3,11.3,52.4,0.27,8.4,0.27,1.386,0.434,0.311,0.477,0.122,122.2
247,Hullikere,312,Loamy Sand,Entisols,Typic Ustifluvents,76.74253,12.3107,100.0,85.0,5.8,9.0,0.6,7.24,0.52,1.546,0.11,0.059,0.417,0.051,51.0
248,Hullikere,312,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.74253,12.3107,100.0,61.0,9.0,29.2,0.75,6.8,0.44,1.558,0.278,0.183,0.412,0.095,95.0
249,Hullikere,312,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.74253,12.3107,100.0,61.0,12.2,26.5,0.8,6.72,0.59,1.555,0.262,0.167,0.413,0.095,95.1
250,Hullikere,312,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.74253,12.3107,100.0,65.0,10.0,25.5,0.6,7.19,0.54,1.58,0.246,0.159,0.404,0.087,87.0
251,Hullikere,312,Loamy Sand,Entisols,Typic Ustifluvents,76.74253,12.3107,100.0,83.0,6.0,10.2,0.4,7.24,0.3,1.574,0.116,0.063,0.406,0.053,53.1
252,Balehal,48,Clay,Entisols,Typic Ustifluvents,76.7042,12.3,168.0,47.5,15.0,37.5,0.67,8.0,0.41,1.502,0.343,0.229,0.433,0.114,191.2
253,Balehal,48,Sand,Entisols,Typic Ustifluvents,76.7042,12.3,168.0,83.8,12.5,3.8,0.3,8.5,0.13,1.545,0.077,0.021,0.417,0.055,93.1
254,Balehal,48,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.7042,12.3,168.0,60.0,12.5,27.5,0.43,8.2,0.23,1.579,0.263,0.169,0.404,0.094,158.7
255,Balehal,48,Loamy Sand,Entisols,Typic Ustifluvents,76.7042,12.3,168.0,68.0,20.0,12.0,0.2,8.4,0.37,1.61,0.153,0.073,0.393,0.08,135.2
256,Balehal,48,Sandy Loam,Entisols,Typic Ustifluvents,76.7042,12.3,168.0,61.8,22.5,15.8,0.2,8.3,0.43,1.612,0.188,0.096,0.392,0.091,153.5
257,Roppam,616,Sandy Loam,Entisols,Typic Ustifluvents,76.8576,12.33739,145.0,71.3,9.6,19.1,0.41,7.8,0.4,1.601,0.192,0.118,0.396,0.074,107.1
258,Roppam,616,Sandy Loam,Entisols,Typic Ustifluvents,76.8576,12.33739,145.0,71.3,10.4,18.3,0.75,6.6,0.1,1.57,0.195,0.118,0.408,0.076,110.7
259,Roppam,616,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.8576,12.33739,145.0,72.2,6.3,21.5,0.26,8.4,0.5,1.617,0.202,0.13,0.39,0.071,103.6
260,Roppam,616,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.8576,12.33739,145.0,64.6,8.4,27.0,0.41,8.8,0.22,1.592,0.252,0.166,0.399,0.087,125.8
261,Roppam,616,Sandy Loam,Entisols,Typic Ustifluvents,76.8576,12.33739,145.0,71.7,8.9,19.4,0.29,8.5,0.2,1.612,0.191,0.118,0.392,0.072,104.8
262,Talakadu,685,Sandy Clay,Inceptisols,Typic Haplustepts,76.92241,12.17574,108.0,57.4,5.0,36.8,0.76,5.55,0.14,1.538,0.328,0.226,0.42,0.102,110.1
263,Talakadu,685,Sandy Clay,Inceptisols,Typic Haplustepts,76.92241,12.17574,108.0,55.4,7.0,37.2,0.24,7.36,0.17,1.551,0.328,0.225,0.415,0.103,111.2
264,Talakadu,685,Sandy Clay,Inceptisols,Typic Haplustepts,76.92241,12.17574,108.0,56.0,7.0,36.2,0.15,7.95,0.19,1.561,0.32,0.218,0.411,0.101,109.6
265,Talakadu,685,Sandy Clay,Inceptisols,Typic Haplustepts,76.92241,12.17574,108.0,51.7,8.0,40.0,0.36,6.93,0.16,1.523,0.35,0.242,0.425,0.109,117.3
266,Talakadu,685,Sandy Clay,Inceptisols,Typic Haplustepts,76.92241,12.17574,108.0,60.0,4.0,36.0,0.18,7.69,0.17,1.574,0.314,0.217,0.406,0.096,104.2
267,Besagarahalli,92,Sandy Clay,Inceptisols,Aquic Haplustepts,76.7618,12.35166,103.0,54.2,8.2,37.0,0.29,6.19,0.67,1.546,0.328,0.224,0.416,0.104,107.6
268,Besagarahalli,92,Sandy Clay Loam,Inceptisols,Aquic Haplustepts,76.7618,12.35166,103.0,70.9,6.0,22.2,1.18,6.26,0.78,1.545,0.227,0.147,0.417,0.08,82.7
269,Besagarahalli,92,Sandy Clay Loam,Inceptisols,Aquic Haplustepts,76.7618,12.35166,103.0,66.5,5.0,28.5,0.88,6.36,0.42,1.566,0.267,0.18,0.409,0.087,89.7
270,Besagarahalli,92,Sandy Clay,Inceptisols,Aquic Haplustepts,76.7618,12.35166,103.0,49.3,7.2,42.2,0.22,7.48,0.93,1.508,0.366,0.254,0.431,0.112,115.0
271,Besagarahalli,92,Sandy Clay,Inceptisols,Aquic Haplustepts,76.7618,12.35166,103.0,51.2,5.0,40.0,0.46,6.88,0.59,1.517,0.352,0.242,0.428,0.109,112.7
272,Besagarahalli,92,Sandy Clay,Inceptisols,Aquic Haplustepts,76.7618,12.35166,103.0,48.6,8.5,41.2,0.44,7.82,0.58,1.502,0.362,0.249,0.433,0.112,115.7
273,Aisandra,7,Sandy Clay Loam,Entisols,Lithic Ustorthents,76.63129,12.36853,25.0,17.1,9.2,20.7,0.15,6.4,0.01,1.547,0.308,0.13,0.416,0.179,44.7
274,Aisandra,7,Sandy Clay Loam,Entisols,Lithic Ustorthents,76.63129,12.36853,25.0,69.0,8.8,22.2,0.01,6.2,0.1,1.633,0.207,0.132,0.384,0.076,18.9
275,Chikkonahalli,163,Sandy Loam,Inceptisols,Typic Haplustepts,77.02622,12.26683,27.0,70.2,10.1,18.8,0.2,6.65,0.08,1.618,0.188,0.113,0.39,0.074,20.1
