CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVER,MGRS_TILE,WRS_PATH,WRS_ROW,date,id,orbitProperties_pass,relativeOrbitNumber_start,season,sensor
52.93299,,43PFP,,,2025-06-01,20250601T050711_20250601T052330_T43PFP,,,kharif_2025,Sentinel-2
56.387699,,43PFQ,,,2025-06-01,20250601T050711_20250601T052330_T43PFQ,,,kharif_2025,Sentinel-2
37.438801,,43PGP,,,2025-06-01,20250601T050711_20250601T052330_T43PGP,,,kharif_2025,Sentinel-2
55.121821,,43PGQ,,,2025-06-01,20250601T050711_20250601T052330_T43PGQ,,,kharif_2025,Sentinel-2
40.173098,,43PFN,,,2025-06-04,20250604T051711_20250604T052850_T43PFN,,,kharif_2025,Sentinel-2
54.401761,,43PGP,,,2025-06-04,20250604T051711_20250604T052850_T43PGP,,,kharif_2025,Sentinel-2
2.046272,,43PFP,,,2025-06-06,20250606T050649_20250606T052442_T43PFP,,,kharif_2025,Sentinel-2
4.600095,,43PFQ,,,2025-06-06,20250606T050649_20250606T052442_T43PFQ,,,kharif_2025,Sentinel-2
7.698425,,43PGP,,,2025-06-06,20250606T050649_20250606T052442_T43PGP,,,kharif_2025,Sentinel-2
11.367468,,43PGQ,,,2025-06-06,20250606T050649_20250606T052442_T43PGQ,,,kharif_2025,Sentinel-2
54.14632,,43PEP,,,2025-06-09,20250609T051649_20250609T053024_T43PEP,,,kharif_2025,Sentinel-2
42.627311,,43PFP,,,2025-06-09,20250609T051649_20250609T053024_T43PFP,,,kharif_2025,Sentinel-2
33.64591,,43PFQ,,,2025-06-09,20250609T051649_20250609T053024_T43PFQ,,,kharif_2025,Sentinel-2
47.138789,,43PGQ,,,2025-06-09,20250609T051649_20250609T053024_T43PGQ,,,kharif_2025,Sentinel-2
59.713674,,43PGQ,,,2025-07-11,20250711T050711_20250711T051557_T43PGQ,,,kharif_2025,Sentinel-2
57.344145,,43PGP,,,2025-07-29,20250729T051649_20250729T053347_T43PGP,,,kharif_2025,Sentinel-2
26.134253,,43PFN,,,2025-09-12,20250912T051701_20250912T053505_T43PFN,,,kharif_2025,Sentinel-2
35.406172,,43PFP,,,2025-10-01,20251001T051241_20251001T052414_T43PFP,,,kharif_2025,Sentinel-2
28.27605,,43PGP,,,2025-10-01,20251001T051241_20251001T052414_T43PGP,,,kharif_2025,Sentinel-2
49.8456,,43PGQ,,,2025-10-01,20251001T051241_20251001T052414_T43PGQ,,,kharif_2025,Sentinel-2
34.628585,,43PEP,,,2025-10-07,20251007T051649_20251007T052452_T43PEP,,,kharif_2025,Sentinel-2
38.92763,,43PFN,,,2025-10-07,20251007T051649_20251007T052452_T43PFN,,,kharif_2025,Sentinel-2
35.039401,,43PFP,,,2025-10-07,20251007T051649_20251007T052452_T43PFP,,,kharif_2025,Sentinel-2
17.028908,,43PFQ,,,2025-10-07,20251007T051649_20251007T052452_T43PFQ,,,kharif_2025,Sentinel-2
20.234816,,43PGP,,,2025-10-07,20251007T051649_20251007T052452_T43PGP,,,kharif_2025,Sentinel-2
19.573525,,43PGQ,,,2025-10-07,20251007T051649_20251007T052452_T43PGQ,,,kharif_2025,Sentinel-2
30.713329,,43PFP,,,2025-10-09,20251009T050731_20251009T051714_T43PFP,,,kharif_2025,Sentinel-2
8.773639,,43PFQ,,,2025-10-09,20251009T050731_20251009T051714_T43PFQ,,,kharif_2025,Sentinel-2
46.752414,,43PGP,,,2025-10-09,20251009T050731_20251009T051714_T43PGP,,,kharif_2025,Sentinel-2
33.765408,,43PGQ,,,2025-10-09,20251009T050731_20251009T051714_T43PGQ,,,kharif_2025,Sentinel-2
3.813358,,43PEP,,,2025-10-12,20251012T051801_20251012T053500_T43PEP,,,kharif_2025,Sentinel-2
9.318276,,43PFN,,,2025-10-12,20251012T051801_20251012T053500_T43PFN,,,kharif_2025,Sentinel-2
17.286831,,43PFP,,,2025-10-12,20251012T051801_20251012T053500_T43PFP,,,kharif_2025,Sentinel-2
19.238593,,43PFQ,,,2025-10-12,20251012T051801_20251012T053500_T43PFQ,,,kharif_2025,Sentinel-2
19.904065,,43PGP,,,2025-10-12,20251012T051801_20251012T053500_T43PGP,,,kharif_2025,Sentinel-2
33.351845,,43PGQ,,,2025-10-12,20251012T051801_20251012T053500_T43PGQ,,,kharif_2025,Sentinel-2
58.712071,,43PGQ,,,2025-10-14,20251014T050659_20251014T051602_T43PGQ,,,kharif_2025,Sentinel-2
43.480411,,43PEP,,,2025-10-14,20251014T052241_20251014T053408_T43PEP,,,kharif_2025,Sentinel-2
50.102794,,43PFN,,,2025-10-14,20251014T052241_20251014T053408_T43PFN,,,kharif_2025,Sentinel-2
54.468793,,43PEP,,,2025-10-17,20251017T051719_20251017T052549_T43PEP,,,kharif_2025,Sentinel-2
53.639323,,43PFN,,,2025-10-17,20251017T051719_20251017T052549_T43PFN,,,kharif_2025,Sentinel-2
13.83878,,43PEP,,,2025-11-01,20251101T052041_20251101T053337_T43PEP,,,kharif_2025,Sentinel-2
11.356609,,43PFN,,,2025-11-01,20251101T052041_20251101T053337_T43PFN,,,kharif_2025,Sentinel-2
0.674928,,43PFP,,,2025-11-01,20251101T052041_20251101T053337_T43PFP,,,kharif_2025,Sentinel-2
0.109489,,43PFQ,,,2025-11-01,20251101T052041_20251101T053337_T43PFQ,,,kharif_2025,Sentinel-2
0.028348,,43PGP,,,2025-11-01,20251101T052041_20251101T053337_T43PGP,,,kharif_2025,Sentinel-2
0.316353,,43PGQ,,,2025-11-01,20251101T052041_20251101T053337_T43PGQ,,,kharif_2025,Sentinel-2
32.190165,,43PEP,,,2025-11-03,20251103T052241_20251103T053048_T43PEP,,,kharif_2025,Sentinel-2
31.585687,,43PFN,,,2025-11-03,20251103T052241_20251103T053048_T43PFN,,,kharif_2025,Sentinel-2
0.215696,,43PEP,,,2025-11-06,20251106T051919_20251106T053017_T43PEP,,,kharif_2025,Sentinel-2
10.734115,,43PFN,,,2025-11-06,20251106T051919_20251106T053017_T43PFN,,,kharif_2025,Sentinel-2
2.280978,,43PFP,,,2025-11-06,20251106T051919_20251106T053017_T43PFP,,,kharif_2025,Sentinel-2
0.374687,,43PFQ,,,2025-11-06,20251106T051919_20251106T053017_T43PFQ,,,kharif_2025,Sentinel-2
2.546568,,43PGP,,,2025-11-06,20251106T051919_20251106T053017_T43PGP,,,kharif_2025,Sentinel-2
1.671907,,43PGQ,,,2025-11-06,20251106T051919_20251106T053017_T43PGQ,,,kharif_2025,Sentinel-2
43.789172,,43PGP,,,2025-11-08,20251108T051031_20251108T052006_T43PGP,,,kharif_2025,Sentinel-2
10.250128,,43PFP,,,2025-11-10,20251110T051241_20251110T052258_T43PFP,,,kharif_2025,Sentinel-2
2.47148,,43PFQ,,,2025-11-10,20251110T051241_20251110T052258_T43PFQ,,,kharif_2025,Sentinel-2
25.024122,,43PGP,,,2025-11-10,20251110T051241_20251110T052258_T43PGP,,,kharif_2025,Sentinel-2
10.44515,,43PGQ,,,2025-11-10,20251110T051241_20251110T052258_T43PGQ,,,kharif_2025,Sentinel-2
11.213692,,43PEP,,,2025-11-11,20251111T052051_20251111T053350_T43PEP,,,kharif_2025,Sentinel-2
20.689605,,43PFP,,,2025-11-11,20251111T052051_20251111T053350_T43PFP,,,kharif_2025,Sentinel-2
25.772616,,43PFQ,,,2025-11-11,20251111T052051_20251111T053350_T43PFQ,,,kharif_2025,Sentinel-2
19.871184,,43PGP,,,2025-11-11,20251111T052051_20251111T053350_T43PGP,,,kharif_2025,Sentinel-2
42.833003,,43PGQ,,,2025-11-11,20251111T052051_20251111T053350_T43PGQ,,,kharif_2025,Sentinel-2
7.111565,,43PFP,,,2025-11-13,20251113T050949_20251113T051911_T43PFP,,,kharif_2025,Sentinel-2
36.57864,,43PFQ,,,2025-11-13,20251113T050949_20251113T051911_T43PFQ,,,kharif_2025,Sentinel-2
23.779957,,43PGP,,,2025-11-13,20251113T050949_20251113T051911_T43PGP,,,kharif_2025,Sentinel-2
49.468607,,43PGQ,,,2025-11-13,20251113T050949_20251113T051911_T43PGQ,,,kharif_2025,Sentinel-2
7.159247,,43PEP,,,2025-11-16,20251116T052009_20251116T053311_T43PEP,,,kharif_2025,Sentinel-2
15.31996,,43PFN,,,2025-11-16,20251116T052009_20251116T053311_T43PFN,,,kharif_2025,Sentinel-2
33.809891,,43PFP,,,2025-11-16,20251116T052009_20251116T053311_T43PFP,,,kharif_2025,Sentinel-2
37.689793,,43PFQ,,,2025-11-16,20251116T052009_20251116T053311_T43PFQ,,,kharif_2025,Sentinel-2
6.869068,,43PGP,,,2025-11-16,20251116T052009_20251116T053311_T43PGP,,,kharif_2025,Sentinel-2
21.253192,,43PGQ,,,2025-11-16,20251116T052009_20251116T053311_T43PGQ,,,kharif_2025,Sentinel-2
11.12266,,43PEP,,,2025-11-21,20251121T052141_20251121T053434_T43PEP,,,kharif_2025,Sentinel-2
24.126719,,43PFN,,,2025-11-21,20251121T052141_20251121T053434_T43PFN,,,kharif_2025,Sentinel-2
3.006828,,43PFP,,,2025-11-21,20251121T052141_20251121T053434_T43PFP,,,kharif_2025,Sentinel-2
27.477312,,43PFQ,,,2025-11-21,20251121T052141_20251121T053434_T43PFQ,,,kharif_2025,Sentinel-2
18.283311,,43PGP,,,2025-11-21,20251121T052141_20251121T053434_T43PGP,,,kharif_2025,Sentinel-2
56.505352,,43PEP,,,2025-11-23,20251123T052241_20251123T052756_T43PEP,,,kharif_2025,Sentinel-2
38.791358,,43PEP,,,2025-11-26,20251126T052039_20251126T053157_T43PEP,,,kharif_2025,Sentinel-2
49.136928,,43PFN,,,2025-11-26,20251126T052039_20251126T053157_T43PFN,,,kharif_2025,Sentinel-2
44.272777,,43PFP,,,2025-11-26,20251126T052039_20251126T053157_T43PFP,,,kharif_2025,Sentinel-2
50.457877,,43PFQ,,,2025-11-26,20251126T052039_20251126T053157_T43PFQ,,,kharif_2025,Sentinel-2
56.995088,,43PGQ,,,2025-11-26,20251126T052039_20251126T053157_T43PGQ,,,kharif_2025,Sentinel-2
,,,,,2025-06-09,S1A_IW_GRDH_1SDV_20250609T004022_20250609T004047_059562_07650C_D156,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-06-09,S1A_IW_GRDH_1SDV_20250609T004047_20250609T004112_059562_07650C_FF0C,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-06-21,S1A_IW_GRDH_1SDV_20250621T004021_20250621T004046_059737_076B17_1366,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-06-21,S1A_IW_GRDH_1SDV_20250621T004046_20250621T004111_059737_076B17_F01B,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-07-03,S1A_IW_GRDH_1SDV_20250703T004020_20250703T004045_059912_077130_77EE,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-07-03,S1A_IW_GRDH_1SDV_20250703T004045_20250703T004110_059912_077130_EE84,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-07-15,S1A_IW_GRDH_1SDV_20250715T004020_20250715T004045_060087_077733_57C5,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-07-15,S1A_IW_GRDH_1SDV_20250715T004045_20250715T004110_060087_077733_9234,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-07-27,S1A_IW_GRDH_1SDV_20250727T004019_20250727T004044_060262_077D37_9221,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-07-27,S1A_IW_GRDH_1SDV_20250727T004044_20250727T004109_060262_077D37_83B6,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-08-08,S1A_IW_GRDH_1SDV_20250808T004019_20250808T004044_060437_07835D_7BE0,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-08-08,S1A_IW_GRDH_1SDV_20250808T004044_20250808T004109_060437_07835D_E39D,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-08-20,S1A_IW_GRDH_1SDV_20250820T004019_20250820T004044_060612_078A40_316E,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-08-20,S1A_IW_GRDH_1SDV_20250820T004044_20250820T004109_060612_078A40_4826,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-09-01,S1A_IW_GRDH_1SDV_20250901T004019_20250901T004044_060787_079123_DF31,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-09-01,S1A_IW_GRDH_1SDV_20250901T004044_20250901T004109_060787_079123_0ED0,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-09-13,S1A_IW_GRDH_1SDV_20250913T004020_20250913T004045_060962_079823_4400,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-09-13,S1A_IW_GRDH_1SDV_20250913T004045_20250913T004110_060962_079823_60EE,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-09-25,S1A_IW_GRDH_1SDV_20250925T004020_20250925T004045_061137_079F2B_704A,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-09-25,S1A_IW_GRDH_1SDV_20250925T004045_20250925T004110_061137_079F2B_D5E1,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-10-07,S1A_IW_GRDH_1SDV_20251007T004020_20251007T004045_061312_07A638_6982,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-10-07,S1A_IW_GRDH_1SDV_20251007T004045_20251007T004110_061312_07A638_FCC7,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-10-19,S1A_IW_GRDH_1SDV_20251019T004020_20251019T004045_061487_07AD3D_1A4B,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-10-19,S1A_IW_GRDH_1SDV_20251019T004045_20251019T004110_061487_07AD3D_2CE4,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-10-31,S1A_IW_GRDH_1SDV_20251031T004020_20251031T004045_061662_07B44B_F41F,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-10-31,S1A_IW_GRDH_1SDV_20251031T004045_20251031T004110_061662_07B44B_D681,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-11-12,S1A_IW_GRDH_1SDV_20251112T004019_20251112T004044_061837_07BB0E_2B5E,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-11-12,S1A_IW_GRDH_1SDV_20251112T004044_20251112T004109_061837_07BB0E_0742,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-11-24,S1A_IW_GRDH_1SDV_20251124T004019_20251124T004044_062012_07C1E3_30FA,DESCENDING,165,kharif_2025,Sentinel-1
,,,,,2025-11-24,S1A_IW_GRDH_1SDV_20251124T004044_20251124T004109_062012_07C1E3_530B,DESCENDING,165,kharif_2025,Sentinel-1
,33.93,,144,51,2025-06-01,LC08_144051_20250601,,,kharif_2025,Landsat-8
,59.4,,144,51,2025-08-04,LC08_144051_20250804,,,kharif_2025,Landsat-8
,13.42,,144,51,2025-10-07,LC08_144051_20251007,,,kharif_2025,Landsat-8
,52.42,,144,51,2025-11-08,LC08_144051_20251108,,,kharif_2025,Landsat-8
,33.93,,144,52,2025-06-01,LC08_144052_20250601,,,kharif_2025,Landsat-8
,44.91,,144,52,2025-08-20,LC08_144052_20250820,,,kharif_2025,Landsat-8
,35.89,,144,52,2025-09-21,LC08_144052_20250921,,,kharif_2025,Landsat-8
