SoilCode,SoilCode_1,Horizon_Th,Min_Depth_,Max_Depth_,Sand_Perce,Silt_Perce,Clay_Perce,EC_dcpermi,Organic_Ca,Excha_Calc,Excha_Magn,Excha_Sodi,Excha_Pota,Cation_Exc,Base_Satur,Excha_So_1,Texture,pH,SoilCode_2,Groups,Sub_Groups,Family_Tex,Family_Min,Family_Tem,Orders,Sub_Orders,Sub_Soil_C,Surface_Te,Sub_Soil_G,Effervesce,Horizon,Soil_Depth,SoilCode_3,Soil_Serie,Shape_Leng,Shape_Area,area_km2
281,281,19.0,32.0,51.0,53.9,20.9,25.2,0.0,0.73,2.98,1.07,0.27,0.05,7.1,61.55,0.7,Sandy Clay Loam,6.5,281,Argiustolls,Typic Argiustolls,Fine Loamy,Mixed,Isohyperthermic,Mollisols,Ustolls,"7.5YR3/2,5YR3/4,3/2,3/6",Sandy Clay Loam,10-40,,A-Bt-Cr,50-75(51),281,Hatghat,152707.996969,62969690.6881,7.00254368021972
301,301,17.0,0.0,17.0,54.0,28.0,18.0,0.3,0.33,3.3,1.2,0.0,0.2,4.6,102.0,0.0,Sandy Loam,8.1,301,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR3/4, 2.5YR3/6",Sandy Loam,40-60,,A-Bw-Cr,75-100(83),301,Hosakere,4106151.09718,778046199.657,101.61119953131232
301,301,29.0,17.0,46.0,55.0,24.0,21.0,0.4,0.42,9.9,2.0,0.1,0.2,12.7,96.0,0.79,Sandy Clay Loam,6.9,301,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR3/4, 2.5YR3/6",Sandy Loam,40-60,,A-Bw-Cr,75-100(83),301,Hosakere,4106151.09718,778046199.657,101.61119953131232
301,301,37.0,46.0,83.0,70.0,19.0,11.0,0.5,0.38,10.2,2.7,0.3,0.2,13.9,96.0,2.16,Sandy Loam,7.2,301,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR3/4, 2.5YR3/6",Sandy Loam,40-60,,A-Bw-Cr,75-100(83),301,Hosakere,4106151.09718,778046199.657,101.61119953131232
319,319,15.0,0.0,15.0,83.29,4.19,12.16,0.14,0.39,5.39,0.34,0.37,2.46,11.1,77.12,3.33,Sandy Loam,6.7,319,Rhodustalfs,Typic Rhodustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/4,Sandy Loam,35-55,,Ap-Bt-Cr,50-75(65),319,Hutagalli,4559029.2641,1037915714.93,361.34023754872425
319,319,21.0,44.0,65.0,53.19,12.2,34.31,0.12,0.21,10.21,0.69,0.27,2.31,16.1,83.73,1.68,Sandy Clay,6.6,319,Rhodustalfs,Typic Rhodustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/4,Sandy Loam,35-55,,Ap-Bt-Cr,50-75(65),319,Hutagalli,4559029.2641,1037915714.93,361.34023754872425
319,319,29.0,15.0,44.0,41.0,8.23,57.45,0.14,0.27,9.48,0.82,0.37,4.51,19.7,77.06,1.88,Clay,6.7,319,Rhodustalfs,Typic Rhodustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/4,Sandy Loam,35-55,,Ap-Bt-Cr,50-75(65),319,Hutagalli,4559029.2641,1037915714.93,361.34023754872425
44,44,10.0,0.0,10.0,52.11,9.5,37.5,0.07,0.54,7.3,2.25,0.16,0.13,13.12,75.0,1.22,Sandy Clay,5.4,44,Haplustalfs,Typic Haplustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR4/4, 4/6, 2.5YR 4/6",Sandy Clay,25,,A-Bt-Cr,75-100(100),44,Badanekote,1144454.26133,266931641.614,170.16104474173167
44,44,35.0,10.0,45.0,42.13,10.5,46.5,0.04,0.48,9.75,3.25,0.25,0.14,17.28,77.49,1.45,Clay,5.33,44,Haplustalfs,Typic Haplustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR4/4, 4/6, 2.5YR 4/6",Sandy Clay,25,,A-Bt-Cr,75-100(100),44,Badanekote,1144454.26133,266931641.614,170.16104474173167
44,44,55.0,45.0,100.0,44.86,7.75,45.0,0.07,0.42,14.5,2.5,0.3,0.25,22.08,79.48,1.36,Clay,6.03,44,Haplustalfs,Typic Haplustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR4/4, 4/6, 2.5YR 4/6",Sandy Clay,25,,A-Bt-Cr,75-100(100),44,Badanekote,1144454.26133,266931641.614,170.16104474173167
441,441,10.0,0.0,10.0,78.7,5.6,15.7,0.03,0.26,4.3,1.1,0.2,0.2,6.4,90.63,3.13,Sandy Loam,6.3,441,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR,7.5YR 3/3, 3/4",Sandy Loam,40-60,,A-Bw-C,50-75(58),441,Koppali,1351067.04619,328662079.035,58.85799104602863
441,441,21.0,10.0,31.0,55.3,7.8,36.9,0.02,0.39,8.2,2.3,0.3,0.2,12.6,87.3,2.38,Sandy Clay,6.0,441,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR,7.5YR 3/3, 3/4",Sandy Loam,40-60,,A-Bw-C,50-75(58),441,Koppali,1351067.04619,328662079.035,58.85799104602863
441,441,27.0,31.0,58.0,64.2,8.7,27.1,0.02,0.39,7.4,1.9,0.4,0.1,12.8,76.56,3.13,Sandy Clay Loam,6.0,441,Haplustepts,Typic Haplustepts,Loamy Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"5YR,7.5YR 3/3, 3/4",Sandy Loam,40-60,,A-Bw-C,50-75(58),441,Koppali,1351067.04619,328662079.035,58.85799104602863
531,531,12.0,0.0,12.0,75.0,10.0,15.0,0.43,0.68,7.0,4.25,1.19,2.07,17.8,81.52,6.69,Sandy Loam,6.5,531,Haplustalfs,Typic Haplustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 4/4, 5/4, 2.5YR 3/6, 3/4",Sandy Loam,50,,A-Bt-Cr,50- 75(56),531,Muddapura,8682284.21712,1481789775.6,151.79085893295834
531,531,12.0,12.0,24.0,62.5,7.5,30.0,0.07,0.52,22.5,5.5,1.09,2.19,37.5,83.41,2.91,Sandy Clay Loam,6.6,531,Haplustalfs,Typic Haplustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 4/4, 5/4, 2.5YR 3/6, 3/4",Sandy Loam,50,,A-Bt-Cr,50- 75(56),531,Muddapura,8682284.21712,1481789775.6,151.79085893295834
531,531,32.0,24.0,56.0,42.5,22.5,35.0,0.11,0.2,16.25,7.5,1.06,2.27,34.2,79.18,3.1,Clay Loam,6.8,531,Haplustalfs,Typic Haplustalfs,Loamy Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4, 4/4, 5/4, 2.5YR 3/6, 3/4",Sandy Loam,50,,A-Bt-Cr,50- 75(56),531,Muddapura,8682284.21712,1481789775.6,151.79085893295834
676,676,7.0,9.0,16.0,64.16,5.71,29.55,0.07,0.15,15.11,6.64,0.43,0.2,24.8,87.25,0.0,Sandy Clay Loam,6.3,676,Haplustalfs,Typic Haplustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"2.5YR4/6,3/6,5YR 4/4",Sandy Clay Loam,25-50,,A-A2-Bt-Bc,50-75(56),676,Srirangapura,3002734.80439,533357573.327,95.71527862807795
676,676,9.0,0.0,9.0,62.27,5.25,32.25,0.15,0.24,14.31,5.35,0.26,0.45,21.6,89.87,0.0,Sandy Clay Loam,6.2,676,Haplustalfs,Typic Haplustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"2.5YR4/6,3/6,5YR 4/4",Sandy Clay Loam,25-50,,A-A2-Bt-Bc,50-75(56),676,Srirangapura,3002734.80439,533357573.327,95.71527862807795
676,676,40.0,16.0,56.0,54.87,5.0,39.53,0.13,0.13,18.45,5.94,0.52,0.3,26.81,87.26,0.0,Sandy Clay,6.3,676,Haplustalfs,Typic Haplustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"2.5YR4/6,3/6,5YR 4/4",Sandy Clay Loam,25-50,,A-A2-Bt-Bc,50-75(56),676,Srirangapura,3002734.80439,533357573.327,95.71527862807795
718,718,14.0,0.0,14.0,75.0,6.1,18.0,0.0,0.35,0.0,0.0,0.0,0.0,10.6,0.0,0.0,Sandy Loam,5.7,718,Haplustepts,Lithic Haplargids,Clayey Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"2.5YR3/4,5YR 3/4",Sand,50-60,,A-Bw1-Bw2-BC,25-50(46),718,Unnala,977561.016596,293332765.844,19.659155030439415
718,718,16.0,14.0,30.0,70.0,6.3,23.5,0.0,0.15,0.0,0.0,0.0,0.0,14.2,0.0,0.0,Sandy Clay,5.5,718,Haplustepts,Lithic Haplargids,Clayey Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"2.5YR3/4,5YR 3/4",Sand,50-60,,A-Bw1-Bw2-BC,25-50(46),718,Unnala,977561.016596,293332765.844,19.659155030439415
718,718,16.0,30.0,46.0,54.7,6.0,39.2,0.0,0.12,0.0,0.0,0.0,0.0,13.9,0.0,0.0,Sandy Clay,7.0,718,Haplustepts,Lithic Haplargids,Clayey Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,"2.5YR3/4,5YR 3/4",Sand,50-60,,A-Bw1-Bw2-BC,25-50(46),718,Unnala,977561.016596,293332765.844,19.659155030439415
157,157,14.0,0.0,14.0,0.0,2.0,12.75,0.08,0.27,8.2,3.4,0.1,0.5,14.52,84.02,3.44,Loamy Sand,6.21,157,Paleustalfs,Typic Paleustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4,2.5YR3/6,7.5YR3/4",Gravelly Loamy Sand,50-75,,Ap-Bt-Cr,100-150(108),157,Chikkajataka,419731.23505,85230232.8438,85.23023285194792
157,157,22.0,14.0,36.0,54.74,9.0,36.25,0.1,0.1,10.0,7.0,0.23,0.1,20.3,85.37,0.49,Sandy Clay,6.42,157,Paleustalfs,Typic Paleustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4,2.5YR3/6,7.5YR3/4",Gravelly Loamy Sand,50-75,,Ap-Bt-Cr,100-150(108),157,Chikkajataka,419731.23505,85230232.8438,85.23023285194792
157,157,30.0,78.0,108.0,51.73,9.0,38.5,0.13,0.6,18.0,6.8,0.49,0.07,29.8,85.1,0.35,Sandy Clay,6.85,157,Paleustalfs,Typic Paleustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4,2.5YR3/6,7.5YR3/4",Gravelly Loamy Sand,50-75,,Ap-Bt-Cr,100-150(108),157,Chikkajataka,419731.23505,85230232.8438,85.23023285194792
157,157,42.0,36.0,78.0,56.5,6.5,37.0,0.12,0.94,15.0,4.6,0.87,0.08,21.78,94.35,0.37,Sandy Clay,6.72,157,Paleustalfs,Typic Paleustalfs,Clayey Skeletal,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/4,2.5YR3/6,7.5YR3/4",Gravelly Loamy Sand,50-75,,Ap-Bt-Cr,100-150(108),157,Chikkajataka,419731.23505,85230232.8438,85.23023285194792
288,288,18.0,0.0,18.0,58.0,9.0,31.0,1.1,1.0,10.0,7.0,0.0,0.0,19.0,90.21,1.1,Sandy Clay Loam,8.0,288,Endoaquepts,Typic Endoaquepts,Fine,Mixed,Isohyperthermic,Inceptisols,Aquepts,"10YR3/1,2.5Y4/1,10YR4/6,5/6",Sandy Clay Loam,,Strong,Ap-Bwg,100-150(110),288,Hirehalli,711570.160345,103814378.563,103.81437856004717
288,288,27.0,18.0,45.0,41.0,12.0,45.0,0.59,0.0,19.0,11.0,0.0,0.0,30.0,103.06,0.7,Clay,8.0,288,Endoaquepts,Typic Endoaquepts,Fine,Mixed,Isohyperthermic,Inceptisols,Aquepts,"10YR3/1,2.5Y4/1,10YR4/6,5/6",Sandy Clay Loam,,Strong,Ap-Bwg,100-150(110),288,Hirehalli,711570.160345,103814378.563,103.81437856004717
288,288,28.0,82.0,110.0,34.0,12.0,53.0,0.25,0.0,23.0,14.0,0.0,0.0,37.0,101.92,0.6,Clay,8.0,288,Endoaquepts,Typic Endoaquepts,Fine,Mixed,Isohyperthermic,Inceptisols,Aquepts,"10YR3/1,2.5Y4/1,10YR4/6,5/6",Sandy Clay Loam,,Strong,Ap-Bwg,100-150(110),288,Hirehalli,711570.160345,103814378.563,103.81437856004717
288,288,37.0,45.0,82.0,33.0,9.0,54.0,0.38,0.0,22.0,18.0,0.0,0.0,37.0,108.01,0.6,Clay,8.0,288,Endoaquepts,Typic Endoaquepts,Fine,Mixed,Isohyperthermic,Inceptisols,Aquepts,"10YR3/1,2.5Y4/1,10YR4/6,5/6",Sandy Clay Loam,,Strong,Ap-Bwg,100-150(110),288,Hirehalli,711570.160345,103814378.563,103.81437856004717
390,390,14.0,0.0,14.0,46.85,12.25,40.25,0.01,1.2,4.8,1.2,0.18,0.11,20.13,31.25,0.89,Sandy Clay,5.19,390,Haplustalfs,Typic Haplustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/3, 3/4 7.5YR 3/2, 3/4",Sandy Clay,15-50,,A-Bt,100-150(120),390,Kanagodu,1702544.867,304848377.867,53.12796793467582
390,390,31.0,89.0,120.0,40.21,7.0,49.5,0.03,0.06,3.44,1.4,0.25,0.11,18.41,28.25,1.36,Clay,5.52,390,Haplustalfs,Typic Haplustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/3, 3/4 7.5YR 3/2, 3/4",Sandy Clay,15-50,,A-Bt,100-150(120),390,Kanagodu,1702544.867,304848377.867,53.12796793467582
390,390,37.0,52.0,89.0,36.92,12.25,48.75,0.07,0.85,3.72,1.2,0.24,0.09,16.0,32.81,1.5,Clay,5.23,390,Haplustalfs,Typic Haplustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/3, 3/4 7.5YR 3/2, 3/4",Sandy Clay,15-50,,A-Bt,100-150(120),390,Kanagodu,1702544.867,304848377.867,53.12796793467582
390,390,38.0,14.0,52.0,44.41,10.5,43.25,0.07,0.84,4.0,0.6,0.19,0.08,16.87,28.87,1.13,Clay,5.19,390,Haplustalfs,Typic Haplustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR3/3, 3/4 7.5YR 3/2, 3/4",Sandy Clay,15-50,,A-Bt,100-150(120),390,Kanagodu,1702544.867,304848377.867,53.12796793467582
392,392,19.0,22.0,41.0,73.13,6.29,20.21,0.25,0.1,6.31,1.25,0.5,1.67,12.2,79.75,10.25,Sandy Clay Loam,7.8,392,Ustifluvents,Typic Ustifluvents,Fine,Mixed,Isohyperthermic,Entisols,Orthents,10YR6/3,Sandy Clay,,Strong,Ap-A2-2C3,100-150(102),392,Kanatur,416715.025213,50019226.676,49.99030120857316
392,392,22.0,0.0,22.0,57.14,11.19,31.02,0.6,0.64,12.74,1.55,1.1,2.39,20.6,86.31,7.52,Sandy Clay,7.1,392,Ustifluvents,Typic Ustifluvents,Fine,Mixed,Isohyperthermic,Entisols,Orthents,10YR6/3,Sandy Clay,,Strong,Ap-A2-2C3,100-150(102),392,Kanatur,416715.025213,50019226.676,49.99030120857316
392,392,22.0,80.0,102.0,77.14,2.0,20.16,0.2,0.07,6.31,0.9,0.42,0.78,11.5,73.13,7.83,Sandy Clay Loam,7.6,392,Ustifluvents,Typic Ustifluvents,Fine,Mixed,Isohyperthermic,Entisols,Orthents,10YR6/3,Sandy Clay,,Strong,Ap-A2-2C3,100-150(102),392,Kanatur,416715.025213,50019226.676,49.99030120857316
392,392,39.0,41.0,80.0,73.39,6.12,20.34,0.25,0.07,7.45,1.29,0.64,1.39,14.2,75.85,9.08,Sandy Clay Loam,8.0,392,Ustifluvents,Typic Ustifluvents,Fine,Mixed,Isohyperthermic,Entisols,Orthents,10YR6/3,Sandy Clay,,Strong,Ap-A2-2C3,100-150(102),392,Kanatur,416715.025213,50019226.676,49.99030120857316
399,399,22.0,0.0,22.0,40.0,28.8,31.2,0.02,1.46,4.6,0.52,0.08,0.4,12.8,43.75,4.06,Clay Loam,5.9,399,Palehumults,Ustic Palehumults,Fine,Kaolinitic,Isohyperthermic,Ultisols,Humults,"5YR3/4, 2.5YR 3/4, 3/6",Clay Loam,10-25,,A-Bt1-Bt2-Bt3,100-150(132),399,Kantbylu,801614.309867,145412768.482,18.617626066983824
399,399,27.0,22.0,49.0,24.6,23.0,52.4,0.01,1.32,4.6,0.54,0.04,0.4,12.2,45.74,4.43,Clay,5.7,399,Palehumults,Ustic Palehumults,Fine,Kaolinitic,Isohyperthermic,Ultisols,Humults,"5YR3/4, 2.5YR 3/4, 3/6",Clay Loam,10-25,,A-Bt1-Bt2-Bt3,100-150(132),399,Kantbylu,801614.309867,145412768.482,18.617626066983824
399,399,30.0,49.0,79.0,30.0,15.0,55.0,0.01,1.22,3.6,0.54,0.02,0.3,9.6,46.46,5.63,Clay,5.3,399,Palehumults,Ustic Palehumults,Fine,Kaolinitic,Isohyperthermic,Ultisols,Humults,"5YR3/4, 2.5YR 3/4, 3/6",Clay Loam,10-25,,A-Bt1-Bt2-Bt3,100-150(132),399,Kantbylu,801614.309867,145412768.482,18.617626066983824
399,399,53.0,79.0,132.0,32.2,21.8,46.0,0.01,1.03,4.0,0.54,0.02,0.4,8.9,55.73,6.07,Clay,4.98,399,Palehumults,Ustic Palehumults,Fine,Kaolinitic,Isohyperthermic,Ultisols,Humults,"5YR3/4, 2.5YR 3/4, 3/6",Clay Loam,10-25,,A-Bt1-Bt2-Bt3,100-150(132),399,Kantbylu,801614.309867,145412768.482,18.617626066983824
491,491,18.0,0.0,18.0,49.0,28.6,22.4,0.04,0.78,5.8,2.2,0.28,0.7,14.0,64.14,5.0,Sandy Clay Loam,5.22,491,Paleustolls,Typic Paleustalfs,Fine Loamy,Mixed,Isohyperthermic,Mollisols,Ustolls,"10YR4/4 , 5YR 4/4",Sandy Clay Loam,,,A1-A2-Bt1-Bt2,100-150(119),491,Malambi,929396.425398,213368615.627,51.23030670625062
491,491,23.0,18.0,41.0,45.8,26.2,28.0,0.04,0.64,5.3,1.3,0.3,0.68,12.0,63.17,5.67,Sandy Clay Loam,4.98,491,Paleustolls,Typic Paleustalfs,Fine Loamy,Mixed,Isohyperthermic,Mollisols,Ustolls,"10YR4/4 , 5YR 4/4",Sandy Clay Loam,,,A1-A2-Bt1-Bt2,100-150(119),491,Malambi,929396.425398,213368615.627,51.23030670625062
491,491,36.0,41.0,77.0,36.0,28.8,35.2,0.02,0.53,6.7,0.9,0.18,0.78,15.2,56.32,5.13,Clay Loam,6.2,491,Paleustolls,Typic Paleustalfs,Fine Loamy,Mixed,Isohyperthermic,Mollisols,Ustolls,"10YR4/4 , 5YR 4/4",Sandy Clay Loam,,,A1-A2-Bt1-Bt2,100-150(119),491,Malambi,929396.425398,213368615.627,51.23030670625062
491,491,42.0,77.0,119.0,29.0,30.0,41.0,0.02,0.4,6.7,0.7,0.28,0.78,14.0,60.43,5.57,Clay Loam,5.9,491,Paleustolls,Typic Paleustalfs,Fine Loamy,Mixed,Isohyperthermic,Mollisols,Ustolls,"10YR4/4 , 5YR 4/4",Sandy Clay Loam,,,A1-A2-Bt1-Bt2,100-150(119),491,Malambi,929396.425398,213368615.627,51.23030670625062
5,5,13.0,0.0,13.0,71.4,10.2,18.4,0.04,1.64,7.1,1.1,0.76,0.14,14.6,62.33,5.21,Sandy Loam,5.04,5,Argiustolls,Typic Argiustolls,Fine Loamy,Mixed,Isohyperthermic,Mollisols,Ustolls,"10YR3/3, 7.5YR 3/2, 3/3",Sandy Loam,,,A1-A2-Bt1-Bt2,75-100(100),5,Aigoor,639164.303479,189999342.571,87.46517001320946
5,5,17.0,13.0,30.0,72.0,9.0,19.0,0.03,1.52,7.2,1.6,0.8,0.14,15.6,62.44,5.13,Sandy Loam,4.86,5,Argiustolls,Typic Argiustolls,Fine Loamy,Mixed,Isohyperthermic,Mollisols,Ustolls,"10YR3/3, 7.5YR 3/2, 3/3",Sandy Loam,,,A1-A2-Bt1-Bt2,75-100(100),5,Aigoor,639164.303479,189999342.571,87.46517001320946
5,5,21.0,30.0,51.0,69.0,6.4,24.6,0.43,1.4,6.7,0.9,1.5,0.08,16.2,56.67,9.26,Sandy Clay Loam,4.95,5,Argiustolls,Typic Argiustolls,Fine Loamy,Mixed,Isohyperthermic,Mollisols,Ustolls,"10YR3/3, 7.5YR 3/2, 3/3",Sandy Loam,,,A1-A2-Bt1-Bt2,75-100(100),5,Aigoor,639164.303479,189999342.571,87.46517001320946
5,5,49.0,51.0,100.0,58.0,16.8,25.2,0.19,1.35,6.1,0.9,0.34,0.04,14.6,50.55,2.33,Sandy Clay Loam,4.91,5,Argiustolls,Typic Argiustolls,Fine Loamy,Mixed,Isohyperthermic,Mollisols,Ustolls,"10YR3/3, 7.5YR 3/2, 3/3",Sandy Loam,,,A1-A2-Bt1-Bt2,75-100(100),5,Aigoor,639164.303479,189999342.571,87.46517001320946
